Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,price,1h_pct,24h_pct,7d_pct,30d_pct,volume,market_cap,supply,is_stablecoin,cap_tier,vol_mcap_ratio,is_high_liq_flag,is_return_outlier
512,Saitama,SAITAMA, $-   ,0.10%,-0.40%,4.90%,-16.60%,"$690,613.00 ","44,802,593,111",44.8 Billion,"$43,310,082.00 ",,0.1,-0.4,4.9,-16.6,690613.0,43310082.0,44802593111.0,False,Small,0.015945779091344134,False,False
513,Star Atlas,ATLAS, $-   ,-0.60%,-1.90%,-6.80%,71.10%,"$1,443,290.00 ","14,371,629,460",36 Billion,"$43,273,730.00 ",,-0.6,-1.9,-6.8,71.1,1443290.0,43273730.0,14371629460.0,False,Small,0.033352567481472015,False,False
514,Redacted,BTRFLY,180.41,-0.10%,10.90%,6.10%,66.90%,"$210,967.00 ","238,911",239 Thousand,"$43,099,766.00 ",180.41,-0.1,10.9,6.1,66.9,210967.0,43099766.0,238911.0,False,Small,0.004894852561380496,False,False
515,PLAYA3ULL GAMES,3ULL,0.01,-0.80%,19.10%,126.60%,1138.60%,"$2,794,081.00 ","6,727,850,516",7.32 Billion,"$42,866,355.00 ",0.01,-0.8,19.1,126.6,1138.6,2794081.0,42866355.0,6727850516.0,False,Small,0.06518121263167816,False,True
516,Perpetual Protocol,PERP,0.59,0.50%,-2.80%,-10.00%,8.40%,"$5,844,715.00 ","72,609,864",150 Million,"$42,865,230.00 ",0.59,0.5,-2.8,-10.0,8.4,5844715.0,42865230.0,72609864.0,False,Small,0.13635095390833082,False,False
517,SuperRare,RARE,0.07,0.90%,-5.90%,1.90%,20.80%,"$9,239,110.00 ","644,800,779",1 Billion,"$42,659,716.00 ",0.07,0.9,-5.9,1.9,20.8,9239110.0,42659716.0,644800779.0,False,Small,0.2165769223592581,False,False
518,A Hunters Dream,CAW, $-   ,0.40%,0.50%,-15.90%,10.30%,"$1,671,632.00 ","636,666,666,666,667",667 Trillion,"$42,293,355.00 ",,0.4,0.5,-15.9,10.3,1671632.0,42293355.0,636666666666667.0,False,Small,0.03952469601903183,False,False
519,Voyager VGX,VGX,0.14,0.40%,1.00%,6.10%,24.80%,"$29,202,655.00 ","293,837,084",294 Million,"$42,266,647.00 ",0.14,0.4,1.0,6.1,24.8,29202655.0,42266647.0,293837084.0,False,Small,0.690914871955658,True,False
520,Litentry,LIT,0.89,1.40%,1.20%,9.90%,37.10%,"$10,771,294.00 ","46,975,262",100 Million,"$41,935,835.00 ",0.89,1.4,1.2,9.9,37.1,10771294.0,41935835.0,46975262.0,False,Small,0.2568517832064152,False,False
521,Myria,MYRIA, $-   ,0.90%,11.50%,3.10%,155.40%,"$1,745,045.00 ","8,787,114,230",50 Billion,"$41,902,521.00 ",,0.9,11.5,3.1,155.4,1745045.0,41902521.0,8787114230.0,False,Small,0.041645346350402165,False,False
